metrics_id,date,warehouse_id,supplier_id,inventory_turnover,stock_accuracy_percent,stockout_incidents,overstock_value_sar,order_fulfillment_rate,average_order_cycle_time_days,on_time_delivery_rate,order_accuracy_rate,supplier_performance_score,supplier_reliability_percent,cost_savings_sar,transportation_cost_sar,fuel_efficiency_km_per_liter,route_optimization_savings_sar,defect_rate_percent,customer_satisfaction_score,return_rate_percent,carbon_footprint_kg_co2,waste_reduction_percent,sustainability_score,created_at
SCM51203,2025-06-19T11:45:00,WH785,SUP6189,8.79,99.16,6,55764.8,0.988,5.22,0.949,0.983,4.6,86.37,21410.43,67061.73,10.48,15720.93,0.63,4.8,1.0,6700.45,24.13,3.3,2025-10-04T21:15:16.900623
SCM98524,2025-05-23T10:26:52,WH107,SUP6239,9.12,96.79,2,10470.21,0.973,3.9,0.914,0.954,3.8,93.63,12330.92,29926.01,6.61,10727.38,1.27,4.6,2.5,2591.94,16.24,4.0,2025-10-04T21:15:16.900681
SCM98058,2025-03-29T06:12:48,WH683,SUP8240,9.76,98.98,7,83126.41,0.966,7.68,0.921,0.957,3.8,92.17,25149.87,31816.57,8.1,2942.7,1.47,4.1,0.93,5179.19,13.57,3.8,2025-10-04T21:15:16.900737
SCM24814,2025-04-04T15:52:26,WH368,SUP2379,6.05,97.46,10,26478.08,0.966,3.6,0.901,0.961,4.6,87.76,48277.99,72078.23,7.12,5865.06,0.58,4.3,0.6,4817.31,22.56,4.5,2025-10-04T21:15:16.900794
SCM72150,2025-02-27T06:12:21,WH313,SUP9471,4.54,96.11,6,44112.11,0.974,6.08,0.925,0.967,4.4,96.84,7912.23,76069.65,8.9,11449.65,0.25,4.2,1.99,4258.31,15.84,4.2,2025-10-04T21:15:16.900850
SCM50483,2025-05-04T16:40:11,WH453,SUP6426,9.69,96.89,4,47323.57,0.948,6.63,0.902,0.981,3.9,96.93,6816.51,41725.33,10.07,2240.41,1.57,4.8,2.7,9055.77,24.84,3.2,2025-10-04T21:15:16.900905
SCM39485,2025-05-10T19:32:33,WH646,SUP1272,10.72,95.01,3,62561.67,0.93,6.32,0.95,0.974,4.4,96.21,27030.45,11065.32,9.58,7149.13,0.75,4.0,1.54,9702.67,18.59,3.0,2025-10-04T21:15:16.900966
SCM95891,2025-06-24T20:15:50,WH943,SUP2327,5.42,95.73,0,34547.88,0.983,3.35,0.911,0.952,4.1,87.17,5718.96,12553.87,11.67,6252.75,0.73,4.8,2.8,3480.07,18.12,4.3,2025-10-04T21:15:16.901027
SCM24821,2025-05-20T22:50:48,WH264,SUP5663,10.04,96.33,1,58779.71,0.97,6.54,0.892,0.989,3.6,90.97,35024.02,47250.38,7.89,6327.43,1.81,5.0,1.57,1916.51,10.85,4.6,2025-10-04T21:15:16.901084
SCM28377,2025-05-04T19:15:29,WH457,SUP5906,11.37,96.48,5,89027.52,0.977,7.12,0.969,0.981,4.5,88.7,33042.36,30318.8,7.87,11423.57,1.81,4.5,2.29,5012.0,22.23,3.3,2025-10-04T21:15:16.901140
SCM72358,2025-06-05T20:40:15,WH954,SUP7620,5.67,96.63,2,73432.1,0.922,6.53,0.964,0.965,3.9,94.03,38779.37,81856.7,6.98,14623.93,1.5,4.2,1.99,9581.81,18.9,3.1,2025-10-04T21:15:16.901195
SCM25513,2025-04-15T09:37:00,WH571,SUP4438,9.69,99.4,2,11035.83,0.972,4.5,0.902,0.956,4.9,93.68,18074.98,95967.98,9.14,15762.01,1.64,4.8,2.0,3595.33,11.86,3.4,2025-10-04T21:15:16.901251
SCM97352,2025-04-01T21:17:43,WH513,SUP3609,5.19,95.14,6,15987.55,0.938,5.68,0.905,0.986,4.7,95.23,45935.76,32414.45,9.05,10502.12,1.74,4.1,0.73,9783.33,24.83,4.1,2025-10-04T21:15:16.901312
SCM84576,2025-04-23T13:12:02,WH938,SUP2703,7.15,95.17,5,92309.28,0.966,4.99,0.902,0.967,4.1,86.45,47476.27,21095.38,7.34,13484.28,1.04,4.4,2.52,9828.25,12.47,3.1,2025-10-04T21:15:16.901369
SCM43068,2025-05-30T04:09:52,WH665,SUP3898,6.74,98.35,0,72183.55,0.927,9.27,0.917,0.982,3.5,87.47,30888.96,75882.99,11.37,16161.54,1.02,4.8,2.7,1334.36,7.49,4.7,2025-10-04T21:15:16.901426
SCM73333,2025-02-25T05:29:39,WH108,SUP2339,6.11,96.87,2,55740.15,0.934,2.44,0.882,0.985,4.0,97.76,9012.64,77417.44,10.81,2394.47,1.86,4.6,1.22,2924.1,22.03,3.5,2025-10-04T21:15:16.901481
SCM58466,2025-02-22T21:20:10,WH702,SUP6823,11.72,97.14,10,82210.99,0.96,2.62,0.896,0.968,4.7,89.64,40761.16,96409.54,8.11,19066.96,0.19,4.4,1.71,8785.12,6.45,3.1,2025-10-04T21:15:16.901536
SCM38651,2025-04-23T15:42:18,WH896,SUP1229,8.3,95.46,10,27435.58,0.972,8.05,0.968,0.96,4.2,89.56,11504.79,97731.33,8.76,10630.25,0.37,4.6,1.49,3285.7,5.89,3.5,2025-10-04T21:15:16.901592
SCM90332,2025-06-19T14:54:20,WH134,SUP6389,8.96,99.45,0,67824.45,0.939,7.7,0.951,0.975,4.8,94.01,48322.01,11699.21,10.05,4762.34,0.51,4.3,1.28,5199.26,12.1,4.1,2025-10-04T21:15:16.901648
SCM95546,2025-05-28T05:09:45,WH563,SUP7993,11.41,97.94,5,26767.31,0.984,9.59,0.946,0.988,3.5,85.81,23184.7,99273.68,7.89,15809.28,0.58,4.9,2.11,8652.47,19.51,4.3,2025-10-04T21:15:16.901709
SCM87904,2025-04-08T22:42:56,WH691,SUP6490,9.87,97.03,2,20570.8,0.939,6.14,0.966,0.955,3.7,92.97,17775.93,52882.99,6.83,14364.38,1.5,4.6,2.01,8531.6,20.88,3.3,2025-10-04T21:15:16.901765
SCM59125,2025-03-20T23:55:23,WH653,SUP2734,7.48,96.5,3,78881.63,0.949,8.57,0.925,0.955,4.7,87.17,25003.97,33070.35,8.8,16034.24,1.04,4.5,1.96,8408.36,15.86,3.2,2025-10-04T21:15:16.901821
SCM94149,2025-05-22T01:57:57,WH640,SUP5349,10.07,97.02,3,86037.58,0.972,9.59,0.923,0.985,4.6,85.41,8172.05,40826.65,9.49,19661.91,1.29,4.7,1.86,8418.34,10.19,3.1,2025-10-04T21:15:16.901879
SCM95659,2025-03-24T06:53:39,WH347,SUP7262,6.1,97.5,5,86449.6,0.976,9.7,0.906,0.96,3.6,89.97,34612.33,22741.91,9.67,17203.49,1.6,4.9,1.06,1481.16,7.07,3.6,2025-10-04T21:15:16.901934
SCM92096,2025-05-15T21:28:18,WH126,SUP3241,10.66,98.74,9,90946.15,0.926,3.3,0.939,0.983,4.6,96.36,47624.72,46139.96,10.23,5531.86,0.94,4.2,2.3,4895.62,5.89,3.4,2025-10-04T21:15:16.901990
SCM14766,2025-03-01T06:38:51,WH945,SUP8796,9.35,99.34,0,66805.75,0.985,7.0,0.892,0.968,4.0,94.78,17134.34,87384.49,8.77,9301.82,0.25,4.8,2.78,4211.92,11.46,4.2,2025-10-04T21:15:16.902046
SCM15847,2025-02-28T14:08:01,WH213,SUP3022,8.32,98.36,7,30629.89,0.933,7.1,0.917,0.95,4.2,92.55,20636.8,51346.51,10.87,2734.29,0.79,4.4,1.33,7785.73,20.53,3.6,2025-10-04T21:15:16.902107
SCM27667,2025-03-07T06:53:02,WH876,SUP5321,10.24,95.53,7,17173.26,0.934,9.87,0.967,0.968,4.8,85.17,33196.7,28434.91,7.87,13089.15,1.2,5.0,1.45,5796.75,16.88,4.0,2025-10-04T21:15:16.902165
SCM93957,2025-05-03T12:14:33,WH881,SUP3527,5.65,98.76,3,41538.64,0.928,7.31,0.965,0.958,4.2,87.31,20101.79,15078.45,9.79,6607.05,1.18,4.0,0.7,1842.09,14.15,3.8,2025-10-04T21:15:16.902231
SCM88033,2025-02-02T15:07:52,WH268,SUP9592,10.24,98.6,2,56226.19,0.935,9.71,0.947,0.964,3.8,92.55,16821.27,20148.91,11.26,10508.03,1.88,4.9,2.29,1714.77,16.69,3.0,2025-10-04T21:15:16.902288
SCM99035,2025-03-22T07:46:11,WH339,SUP9936,4.73,97.51,2,83385.68,0.975,5.02,0.951,0.989,4.3,95.31,36558.68,28543.09,11.52,9489.5,1.42,5.0,0.55,3274.11,13.98,3.4,2025-10-04T21:15:16.902344
SCM14358,2025-04-09T01:42:05,WH933,SUP5822,8.42,96.15,9,99042.78,0.946,8.91,0.881,0.976,3.7,85.15,41845.64,42439.43,6.02,7964.26,0.14,4.4,1.53,5047.81,11.31,3.6,2025-10-04T21:15:16.902400
SCM56640,2025-04-10T20:36:30,WH155,SUP3936,9.29,98.84,5,66679.48,0.927,7.95,0.944,0.976,4.6,94.4,43580.1,70722.41,10.63,4965.62,1.97,4.1,2.39,3135.26,9.42,3.6,2025-10-04T21:15:16.902456
SCM37172,2025-03-22T16:00:27,WH645,SUP3690,4.59,98.28,10,57673.82,0.965,4.58,0.913,0.973,4.3,94.37,48816.02,17912.79,11.96,15835.09,1.73,4.2,1.97,1654.23,23.52,4.7,2025-10-04T21:15:16.902516
SCM13562,2025-01-31T02:57:52,WH264,SUP5901,6.51,96.01,9,40658.42,0.984,2.86,0.949,0.957,4.1,85.56,9013.87,13179.37,8.19,9092.1,0.51,4.6,0.82,9101.36,10.99,3.4,2025-10-04T21:15:16.902573
SCM55364,2025-02-22T06:53:34,WH662,SUP1784,8.53,95.58,7,70278.2,0.963,6.19,0.908,0.954,3.9,95.1,7240.69,73588.66,11.07,17535.14,1.27,4.4,1.07,1386.29,7.07,3.3,2025-10-04T21:15:16.902629
SCM78453,2025-04-05T12:30:46,WH175,SUP2921,6.75,98.13,8,81434.3,0.98,6.29,0.967,0.977,4.1,90.22,7959.68,93772.63,7.12,19622.84,1.36,4.0,1.32,2138.66,22.12,3.5,2025-10-04T21:15:16.902685
SCM78981,2025-05-17T12:07:00,WH673,SUP4062,7.2,95.91,2,75576.93,0.952,2.92,0.956,0.959,3.9,87.85,39330.52,24999.16,8.82,7826.13,1.94,4.8,2.93,9221.78,15.54,3.2,2025-10-04T21:15:16.902740
SCM52380,2025-04-19T07:47:30,WH953,SUP7055,5.72,98.4,9,99247.33,0.952,9.51,0.884,0.957,3.8,90.09,23914.4,83966.7,11.74,19828.75,0.19,4.6,1.96,5131.6,13.85,3.0,2025-10-04T21:15:16.902797
SCM37676,2025-06-02T19:21:03,WH793,SUP4868,8.62,98.31,4,59020.88,0.984,8.65,0.929,0.971,3.6,89.56,31809.1,20303.34,8.94,12902.69,1.36,5.0,2.46,7417.61,21.11,3.1,2025-10-04T21:15:16.902856
SCM48879,2025-06-23T17:03:00,WH279,SUP6202,11.87,97.62,9,70400.91,0.989,6.51,0.928,0.958,4.8,96.53,46320.06,24387.48,7.5,17666.09,1.48,4.4,1.98,3543.19,5.04,4.9,2025-10-04T21:15:16.902916
SCM46632,2025-06-10T16:15:45,WH460,SUP8314,6.14,97.27,0,55480.5,0.923,3.35,0.942,0.971,3.6,94.41,29060.08,50724.57,10.89,4578.34,1.08,4.7,2.83,1883.49,9.8,4.5,2025-10-04T21:15:16.902974
SCM91328,2025-02-23T04:45:39,WH731,SUP6998,5.88,98.79,9,53105.99,0.928,4.79,0.893,0.972,4.6,89.32,15924.52,22177.38,6.68,12078.17,0.61,4.2,1.79,2299.12,13.13,3.4,2025-10-04T21:15:16.903030
SCM22724,2025-03-28T18:26:46,WH938,SUP5319,4.52,99.33,10,89218.04,0.922,8.37,0.914,0.98,4.1,91.7,39577.88,70951.48,11.42,8323.84,1.56,4.9,2.12,6825.0,19.86,4.9,2025-10-04T21:15:16.903085
SCM28808,2025-06-22T07:25:31,WH461,SUP8577,5.84,96.8,1,93837.76,0.946,2.29,0.909,0.956,4.7,93.92,9323.67,91328.52,8.72,11012.56,0.67,4.8,0.63,3188.71,10.4,3.2,2025-10-04T21:15:16.903141
SCM76633,2025-03-04T02:53:59,WH484,SUP2536,5.67,95.26,3,34514.83,0.946,4.0,0.938,0.956,4.9,90.71,19199.53,17441.81,10.16,4770.9,1.37,4.8,1.16,1278.39,14.51,3.6,2025-10-04T21:15:16.903197
SCM88840,2025-04-03T12:55:48,WH283,SUP2262,11.58,98.56,2,23865.87,0.946,2.43,0.911,0.974,4.4,91.9,25530.07,98863.87,9.07,9490.38,1.76,4.3,1.85,7879.99,23.22,4.6,2025-10-04T21:15:16.903272
SCM39042,2025-06-08T19:21:24,WH998,SUP3693,4.12,96.1,2,71534.27,0.951,3.77,0.966,0.967,4.0,86.52,19287.75,65778.23,8.77,2885.33,1.99,4.5,0.5,6174.23,15.15,3.3,2025-10-04T21:15:16.903330
SCM78350,2025-02-07T13:56:07,WH246,SUP3314,7.16,96.38,5,84297.76,0.936,9.04,0.898,0.953,3.6,89.39,15787.1,47142.67,7.04,3700.4,0.24,4.0,1.34,7962.2,7.16,3.6,2025-10-04T21:15:16.903386
SCM22221,2025-02-03T17:51:13,WH145,SUP4208,10.59,97.95,0,39181.18,0.924,5.91,0.931,0.958,4.9,97.16,19686.44,60955.06,11.25,5905.06,1.97,4.3,2.59,9770.77,7.9,4.9,2025-10-04T21:15:16.903442
SCM99716,2025-04-17T07:58:14,WH682,SUP4492,9.77,98.83,10,15254.17,0.925,5.74,0.893,0.968,3.9,94.91,34835.56,99852.79,6.02,18913.83,1.2,4.0,0.98,3153.03,11.64,3.7,2025-10-04T21:15:16.903504
SCM62055,2025-04-10T07:57:49,WH209,SUP3970,6.98,96.43,4,94288.14,0.982,5.53,0.943,0.97,4.3,91.19,5479.27,23983.65,10.73,6812.25,1.46,4.0,1.78,6012.9,6.47,4.3,2025-10-04T21:15:16.903560
SCM78671,2025-03-12T08:40:29,WH546,SUP9745,5.96,96.79,2,51123.34,0.934,5.01,0.912,0.961,3.9,90.99,24649.88,71691.49,7.9,6244.78,1.3,4.7,2.61,6806.23,9.73,3.7,2025-10-04T21:15:16.903616
SCM78215,2025-06-24T18:58:07,WH949,SUP8491,7.22,98.91,1,91670.95,0.964,2.63,0.927,0.986,4.8,85.94,8534.24,56862.6,6.36,12062.16,1.81,4.6,1.93,4775.45,15.63,3.1,2025-10-04T21:15:16.903676
SCM57910,2025-02-16T06:20:34,WH399,SUP2248,11.29,95.61,1,67191.53,0.938,9.33,0.947,0.972,4.3,92.12,34308.03,67921.52,11.28,7415.08,1.25,4.4,2.06,6087.99,20.04,3.7,2025-10-04T21:15:16.903733
SCM91927,2025-02-28T17:35:18,WH203,SUP9682,9.67,95.23,0,12254.11,0.932,6.09,0.915,0.99,3.6,89.59,34305.98,53172.88,8.39,19728.45,1.21,4.1,2.65,8882.83,24.65,4.7,2025-10-04T21:15:16.903790
SCM56468,2025-02-07T03:34:17,WH842,SUP5431,10.62,96.13,1,79897.15,0.966,8.88,0.899,0.967,4.0,90.39,13042.54,79855.05,9.55,8936.89,1.75,4.9,2.18,6288.79,12.85,4.4,2025-10-04T21:15:16.903846
SCM16873,2025-04-13T08:41:42,WH430,SUP3944,11.4,97.69,2,69167.64,0.927,6.17,0.901,0.959,5.0,96.44,49905.76,27538.85,11.37,17650.68,1.97,4.5,2.3,4913.43,8.4,3.3,2025-10-04T21:15:16.903902
SCM49530,2025-02-22T21:12:48,WH242,SUP4924,9.11,96.49,6,39156.52,0.922,4.36,0.884,0.974,3.6,86.69,19689.44,68473.93,9.56,5564.43,0.58,4.7,1.38,2638.97,24.34,4.5,2025-10-04T21:15:16.903958
SCM22607,2025-05-06T23:29:15,WH349,SUP4744,10.65,98.91,0,36255.57,0.93,3.27,0.961,0.976,4.3,87.52,18581.36,81084.26,10.17,7837.78,1.07,4.5,0.61,1648.91,9.09,4.3,2025-10-04T21:15:16.904018
SCM75324,2025-05-27T21:20:18,WH383,SUP2533,7.41,97.48,7,95806.7,0.972,9.25,0.939,0.969,4.8,93.77,18324.45,62003.82,7.19,15368.15,0.87,4.9,2.28,3652.4,10.21,4.1,2025-10-04T21:15:16.904075
SCM49515,2025-02-24T18:24:31,WH329,SUP5952,11.95,98.0,7,46842.16,0.962,6.75,0.952,0.956,4.8,89.04,35532.35,89202.12,11.48,3329.51,0.35,4.4,1.66,2479.21,9.43,3.7,2025-10-04T21:15:16.904131
SCM30237,2025-03-15T12:33:10,WH760,SUP6602,11.66,99.02,2,74729.48,0.979,3.13,0.958,0.952,4.7,97.85,24372.78,65743.62,6.37,15538.71,0.35,4.2,0.89,1029.04,16.34,4.7,2025-10-04T21:15:16.904189
SCM84843,2025-02-24T12:46:27,WH692,SUP5190,9.98,98.81,8,80885.54,0.954,4.95,0.881,0.969,4.1,95.26,14692.23,48135.99,7.72,10611.14,0.41,4.6,1.08,7920.79,24.01,4.5,2025-10-04T21:15:16.904250
SCM16320,2025-05-26T15:34:50,WH653,SUP1770,8.62,96.78,7,11458.7,0.981,2.95,0.911,0.953,4.5,89.83,6814.46,72838.21,6.36,6889.75,0.82,4.0,0.71,4668.55,14.49,4.2,2025-10-04T21:15:16.904306
SCM15269,2025-05-10T16:36:56,WH928,SUP7854,10.53,98.7,5,29779.53,0.937,7.19,0.907,0.964,3.9,94.22,11378.13,18733.62,8.95,12615.32,1.97,4.5,2.67,9646.91,24.97,3.1,2025-10-04T21:15:16.904362
SCM70560,2025-03-24T04:33:31,WH777,SUP3087,4.93,99.23,3,70389.38,0.923,8.95,0.968,0.956,4.4,97.81,48006.97,60778.32,11.05,5992.26,0.6,4.1,1.38,8383.62,24.69,4.1,2025-10-04T21:15:16.904423
SCM58103,2025-03-30T20:45:02,WH227,SUP5671,5.69,95.1,10,57828.05,0.981,9.16,0.937,0.975,4.7,94.01,20470.13,91545.46,11.96,2302.29,0.26,4.4,2.84,6438.3,14.69,4.9,2025-10-04T21:15:16.904479
SCM47370,2025-05-28T12:56:32,WH946,SUP8764,8.53,98.41,8,14860.77,0.982,9.43,0.918,0.969,4.7,88.18,41711.42,84481.72,8.46,11777.05,1.86,4.2,1.37,2919.82,19.66,3.4,2025-10-04T21:15:16.904535
SCM60655,2025-03-25T08:15:37,WH454,SUP1032,9.98,95.37,6,78815.31,0.99,8.83,0.9,0.977,4.3,97.91,42882.64,70193.77,11.14,15887.33,1.22,4.6,1.34,7762.93,23.34,3.5,2025-10-04T21:15:16.904591
SCM65599,2025-06-08T18:47:07,WH970,SUP6484,6.97,99.07,10,54967.53,0.964,2.94,0.898,0.981,4.7,87.08,11124.79,40057.48,8.51,14099.27,0.69,4.2,2.66,3146.8,18.21,4.0,2025-10-04T21:15:16.904647
SCM90874,2025-04-27T23:11:00,WH459,SUP3138,11.12,97.68,8,27555.42,0.947,7.25,0.958,0.971,4.1,85.21,35666.51,48157.57,6.6,7381.53,1.75,4.6,0.71,8900.46,20.04,3.8,2025-10-04T21:15:16.904710
SCM11106,2025-05-13T09:16:00,WH247,SUP6505,4.39,98.08,2,75729.57,0.948,8.18,0.9,0.978,4.9,88.71,41829.3,82969.92,9.54,4322.71,1.48,4.3,2.0,7742.31,23.63,4.2,2025-10-04T21:15:16.904766
SCM61703,2025-02-07T18:05:50,WH533,SUP5467,11.88,97.05,0,59601.07,0.99,2.03,0.935,0.989,4.8,86.49,33710.46,37635.85,8.78,18404.95,0.41,4.2,0.95,9450.65,6.48,4.2,2025-10-04T21:15:16.904827
SCM53867,2025-04-30T16:46:33,WH707,SUP9391,7.5,99.1,4,96044.65,0.959,8.83,0.886,0.969,4.3,85.2,9822.75,81125.91,10.45,17887.5,1.23,4.6,1.4,4914.99,18.53,3.9,2025-10-04T21:15:16.904884
SCM94464,2025-04-04T22:38:33,WH120,SUP1858,4.78,96.78,10,43110.09,0.961,2.6,0.899,0.96,4.5,91.16,41441.09,23818.31,6.26,18099.61,0.57,4.1,1.07,3296.09,23.66,4.4,2025-10-04T21:15:16.904940
SCM80832,2025-06-16T03:27:28,WH573,SUP7624,8.13,95.55,4,96113.13,0.961,3.04,0.949,0.953,4.1,86.06,11351.23,97539.46,6.47,3778.3,0.96,4.1,1.87,6224.53,8.5,4.6,2025-10-04T21:15:16.904995
SCM36645,2025-05-03T14:54:06,WH845,SUP1950,10.02,96.71,1,50787.71,0.972,8.56,0.962,0.967,4.2,90.56,7193.71,71475.05,10.39,11859.58,1.96,4.0,1.86,5978.68,18.88,3.2,2025-10-04T21:15:16.905051
SCM88011,2025-06-14T12:51:44,WH543,SUP8121,7.49,97.97,10,94592.49,0.974,2.32,0.944,0.955,4.4,97.67,9917.09,71621.67,11.86,18577.47,0.4,4.9,0.9,4730.0,18.72,3.7,2025-10-04T21:15:16.905107
SCM92738,2025-03-12T18:07:05,WH843,SUP1412,8.39,97.21,1,33302.97,0.961,9.59,0.903,0.978,4.3,90.17,18045.68,55292.18,8.73,11247.18,0.79,4.2,2.36,1476.86,20.01,3.5,2025-10-04T21:15:16.905898
SCM78657,2025-03-23T05:07:37,WH459,SUP8543,9.84,99.4,4,32775.81,0.964,7.41,0.899,0.965,4.7,96.17,10330.9,26880.36,8.93,16012.17,0.19,4.7,2.66,6573.43,19.81,4.9,2025-10-04T21:15:16.906020
SCM16908,2025-05-19T06:42:44,WH477,SUP6269,9.77,99.32,6,51951.04,0.95,6.69,0.945,0.971,4.7,94.77,33989.64,13233.47,11.4,13387.93,1.64,4.1,1.6,9903.81,15.43,4.1,2025-10-04T21:15:16.906079
SCM25212,2025-05-15T23:19:43,WH492,SUP4673,5.92,95.64,8,27695.54,0.963,3.49,0.942,0.967,4.6,85.12,37741.86,21564.41,9.42,7332.87,0.93,4.5,0.8,8812.95,5.88,3.3,2025-10-04T21:15:16.906136
SCM14506,2025-05-31T16:23:52,WH713,SUP3780,8.68,98.89,4,44713.01,0.923,3.5,0.96,0.961,5.0,95.55,16670.13,96037.04,6.85,4109.79,0.12,4.8,1.65,7135.99,16.74,3.7,2025-10-04T21:15:16.906195
SCM35508,2025-05-02T22:47:35,WH994,SUP6126,6.57,98.55,3,45438.93,0.966,7.42,0.969,0.968,4.2,96.71,21563.55,98437.57,7.78,9892.95,0.97,5.0,1.97,2709.82,11.49,3.2,2025-10-04T21:15:16.906254
SCM53980,2025-03-26T08:20:00,WH605,SUP3394,11.71,98.04,8,50913.14,0.983,6.8,0.96,0.972,4.3,89.86,30522.55,48329.44,7.28,11250.48,1.66,5.0,2.53,5851.43,23.97,3.6,2025-10-04T21:15:16.906313
SCM30379,2025-05-15T10:05:53,WH704,SUP1716,10.72,98.54,10,64572.83,0.937,8.77,0.934,0.984,4.5,97.63,30826.06,74512.85,8.94,19066.96,0.32,4.0,1.99,1948.82,21.34,3.1,2025-10-04T21:15:16.906377
SCM80340,2025-03-03T15:56:15,WH455,SUP2867,10.13,99.24,5,47643.59,0.977,2.68,0.885,0.968,3.9,94.45,47834.06,73276.72,7.42,7998.85,0.99,4.3,1.52,1765.96,11.37,4.9,2025-10-04T21:15:16.906435
SCM53228,2025-02-23T23:41:57,WH277,SUP8602,5.1,96.04,7,75642.71,0.93,2.92,0.954,0.964,3.6,88.79,17253.1,64180.09,7.86,8468.68,1.92,4.2,1.4,6796.53,7.13,3.1,2025-10-04T21:15:16.906493
SCM74187,2025-03-14T22:11:01,WH462,SUP6342,5.55,96.53,7,86901.1,0.955,4.45,0.936,0.962,4.0,89.54,5309.11,37221.75,8.26,19485.14,1.46,4.9,1.49,9871.09,13.96,3.6,2025-10-04T21:15:16.906550
SCM94235,2025-04-23T05:56:37,WH976,SUP9414,5.0,98.69,5,24151.94,0.942,6.21,0.935,0.954,4.1,94.58,28626.4,77415.34,7.04,17186.36,1.62,4.4,1.63,1435.75,13.67,5.0,2025-10-04T21:15:16.906606
SCM71684,2025-04-08T13:24:29,WH856,SUP9829,10.41,98.81,8,10924.94,0.965,6.29,0.902,0.953,3.6,85.15,12742.11,29124.15,9.35,14372.92,0.65,4.6,2.73,2921.64,12.58,3.7,2025-10-04T21:15:16.906663
SCM80243,2025-04-13T01:18:08,WH929,SUP6169,10.35,98.43,10,35540.25,0.926,8.38,0.899,0.99,4.4,93.78,48803.34,24250.32,9.75,18743.75,1.05,4.5,2.23,6857.79,24.83,3.5,2025-10-04T21:15:16.906729
SCM72055,2025-03-31T23:55:25,WH143,SUP4054,11.85,98.36,9,69610.19,0.979,9.96,0.888,0.956,3.7,91.63,33257.53,53085.74,7.56,2614.99,1.89,4.2,2.86,5987.71,9.43,4.6,2025-10-04T21:15:16.906796
SCM56862,2025-03-08T16:30:11,WH164,SUP7648,7.08,96.33,4,36941.85,0.959,8.92,0.885,0.973,4.5,89.15,44962.95,46533.46,7.31,5961.29,0.31,4.1,2.13,4069.23,11.88,3.4,2025-10-04T21:15:16.906854
SCM44928,2025-02-10T20:13:21,WH258,SUP3333,4.81,96.56,4,95979.08,0.939,9.49,0.89,0.968,3.9,85.94,15564.94,79355.88,10.39,11494.73,0.44,4.6,0.82,6849.96,19.3,4.7,2025-10-04T21:15:16.906910
SCM91846,2025-05-04T20:46:01,WH659,SUP9171,9.69,97.17,0,64540.6,0.968,7.39,0.932,0.97,4.8,88.27,22170.46,36752.98,10.9,2572.8,1.02,4.9,1.09,8370.12,18.16,3.8,2025-10-04T21:15:16.906968
SCM51381,2025-04-20T03:39:41,WH784,SUP3570,8.21,96.01,3,28090.56,0.952,4.0,0.936,0.99,4.3,95.13,32644.76,45024.52,10.91,2315.09,1.76,4.7,2.86,1710.7,15.42,3.7,2025-10-04T21:15:16.907024
SCM84222,2025-04-18T21:12:52,WH386,SUP2315,4.52,95.51,1,41677.27,0.975,7.03,0.958,0.979,4.3,97.9,9765.07,68196.16,11.3,13034.12,1.17,4.7,1.89,6682.23,9.42,3.6,2025-10-04T21:15:16.907083
SCM47693,2025-02-19T06:03:25,WH948,SUP6438,8.51,96.53,7,97266.92,0.95,5.73,0.92,0.956,4.4,88.55,40461.04,46611.57,10.43,8901.38,0.72,4.2,1.91,1980.5,16.81,4.6,2025-10-04T21:15:16.907140
SCM28595,2025-04-10T06:18:18,WH647,SUP7317,9.26,96.75,4,98020.22,0.975,4.52,0.944,0.97,3.7,93.31,7018.7,27166.57,9.39,3140.58,1.23,4.6,2.35,1891.51,21.19,3.9,2025-10-04T21:15:16.907206
SCM96210,2025-04-14T19:58:45,WH826,SUP2091,7.82,99.17,10,14549.96,0.946,2.96,0.903,0.971,3.6,86.6,47073.5,49642.13,11.55,15105.54,0.64,4.2,2.6,7063.02,8.31,4.7,2025-10-04T21:15:16.907264
SCM24338,2025-05-09T21:29:03,WH509,SUP6309,11.72,98.36,8,30498.73,0.929,7.97,0.941,0.959,4.1,93.57,42661.69,69332.02,11.5,8623.3,1.15,4.9,0.56,8683.0,21.43,3.9,2025-10-04T21:15:16.907321
SCM70791,2025-05-01T12:41:05,WH287,SUP6496,9.66,97.23,3,70406.17,0.93,5.56,0.886,0.95,3.8,95.56,8704.64,84563.15,8.85,6147.85,1.53,4.6,0.6,2572.58,15.63,5.0,2025-10-04T21:15:16.907377
SCM22009,2025-05-21T22:57:11,WH765,SUP8291,7.42,99.23,4,11892.0,0.926,4.41,0.935,0.965,4.8,93.45,8568.39,92352.54,6.36,13528.35,1.35,4.2,1.91,7830.55,22.9,4.8,2025-10-04T21:15:16.907434
SCM99629,2025-06-13T17:16:10,WH645,SUP7619,4.33,99.23,9,73345.72,0.962,5.88,0.925,0.955,4.0,88.78,21189.74,54013.49,8.87,18734.43,1.24,5.0,1.89,6293.13,19.95,4.3,2025-10-04T21:15:16.907490
SCM67828,2025-05-07T08:19:31,WH125,SUP6812,4.95,97.98,8,65407.07,0.99,4.9,0.896,0.961,4.7,88.49,34254.26,70325.9,11.11,2233.77,0.14,4.2,3.0,6914.35,19.44,4.9,2025-10-04T21:15:16.907551
